符号：{symbol} 10进：{dec} 16进：{hex} html代码：{html}
符号： 10进：129 16进：0081 html代码：&#129;
符号： 10进：130 16进：0082 html代码：&#130;
符号： 10进：131 16进：0083 html代码：&#131;
符号： 10进：132 16进：0084 html代码：&#132;
符号： 10进：133 16进：0085 html代码：&#133;
符号： 10进：134 16进：0086 html代码：&#134;
符号： 10进：135 16进：0087 html代码：&#135;
符号： 10进：136 16进：0088 html代码：&#136;
符号： 10进：137 16进：0089 html代码：&#137;
符号： 10进：138 16进：008A html代码：&#138;
符号： 10进：139 16进：008B html代码：&#139;
符号： 10进：140 16进：008C html代码：&#140;
符号： 10进：141 16进：008D html代码：&#141;
符号： 10进：142 16进：008E html代码：&#142;
符号： 10进：143 16进：008F html代码：&#143;
符号： 10进：144 16进：0090 html代码：&#144;
符号： 10进：145 16进：0091 html代码：&#145;
符号： 10进：146 16进：0092 html代码：&#146;
符号： 10进：147 16进：0093 html代码：&#147;
符号： 10进：148 16进：0094 html代码：&#148;
符号： 10进：149 16进：0095 html代码：&#149;
符号： 10进：150 16进：0096 html代码：&#150;
符号： 10进：151 16进：0097 html代码：&#151;
符号： 10进：152 16进：0098 html代码：&#152;
符号： 10进：153 16进：0099 html代码：&#153;
符号： 10进：154 16进：009A html代码：&#154;
符号： 10进：155 16进：009B html代码：&#155;
符号： 10进：156 16进：009C html代码：&#156;
符号： 10进：157 16进：009D html代码：&#157;
符号： 10进：158 16进：009E html代码：&#158;
符号： 10进：159 16进：009F html代码：&#159;
符号：  10进：160 16进：00A0 html代码：&#160;
符号：¡ 10进：161 16进：00A1 html代码：&#161;
符号：¢ 10进：162 16进：00A2 html代码：&#162;
符号：£ 10进：163 16进：00A3 html代码：&#163;
符号：¤ 10进：164 16进：00A4 html代码：&#164;
符号：¥ 10进：165 16进：00A5 html代码：&#165;
符号：¦ 10进：166 16进：00A6 html代码：&#166;
符号：§ 10进：167 16进：00A7 html代码：&#167;
符号：¨ 10进：168 16进：00A8 html代码：&#168;
符号：© 10进：169 16进：00A9 html代码：&#169;
符号：ª 10进：170 16进：00AA html代码：&#170;
符号：« 10进：171 16进：00AB html代码：&#171;
符号：¬ 10进：172 16进：00AC html代码：&#172;
符号：­ 10进：173 16进：00AD html代码：&#173;
符号：® 10进：174 16进：00AE html代码：&#174;
符号：¯ 10进：175 16进：00AF html代码：&#175;
符号：° 10进：176 16进：00B0 html代码：&#176;
符号：± 10进：177 16进：00B1 html代码：&#177;
符号：² 10进：178 16进：00B2 html代码：&#178;
符号：³ 10进：179 16进：00B3 html代码：&#179;
符号：´ 10进：180 16进：00B4 html代码：&#180;
符号：µ 10进：181 16进：00B5 html代码：&#181;
符号：¶ 10进：182 16进：00B6 html代码：&#182;
符号：· 10进：183 16进：00B7 html代码：&#183;
符号：¸ 10进：184 16进：00B8 html代码：&#184;
符号：¹ 10进：185 16进：00B9 html代码：&#185;
符号：º 10进：186 16进：00BA html代码：&#186;
符号：» 10进：187 16进：00BB html代码：&#187;
符号：¼ 10进：188 16进：00BC html代码：&#188;
符号：½ 10进：189 16进：00BD html代码：&#189;
符号：¾ 10进：190 16进：00BE html代码：&#190;
符号：¿ 10进：191 16进：00BF html代码：&#191;
符号：À 10进：192 16进：00C0 html代码：&#192;
符号：Á 10进：193 16进：00C1 html代码：&#193;
符号：Â 10进：194 16进：00C2 html代码：&#194;
符号：Ã 10进：195 16进：00C3 html代码：&#195;
符号：Ä 10进：196 16进：00C4 html代码：&#196;
